,log_return
14,0.14930750176416
15,0.16407930968445836
16,0.15751681544426693
17,0.15148166138846178
18,0.13969171665053814
19,0.1337155984784569
20,0.14090005161887542
21,0.14021957497119208
22,0.1210089648740617
23,0.12082314124692982
24,0.12277001005765446
25,0.1224130202207634
26,0.12279233477195636
27,0.1121327729330028
28,0.12272889118356674
29,0.08894491713587653
30,0.08901797221739852
31,0.08622264918794847
32,0.08792867388199338
33,0.08893416502816785
34,0.09679418657636918
35,0.08852499507994535
36,0.08713563519713294
37,0.0949113286520915
38,0.09620851017979634
39,0.10593688396015072
40,0.11993514744417627
41,0.1212615796805252
42,0.11003404999332746
43,0.1125009664082479
44,0.12475171296266704
45,0.1266864494655907
46,0.13441097963028784
47,0.13593788431537057
48,0.1385085013773379
49,0.13981137684647146
50,0.1620149538095579
51,0.16180736430560583
52,0.1544730560529461
53,0.16010254030662685
54,0.158303079314278
55,0.18508061453424154
56,0.1850416491816103
57,0.18808073002347667
58,0.17917201361485968
59,0.17925814223505743
60,0.1717339587042563
61,0.1725602465264187
62,0.16176118250614988
63,0.1623755287340289
64,0.1330511783922829
65,0.12933198982536806
66,0.12193732718126374
67,0.131982836569898
68,0.11839532167785403
69,0.08208929245306688
70,0.10931262481763863
71,0.10282005499522427
72,0.10303105449013339
73,0.10112256756713196
74,0.11814688742141778
75,0.11684103327954398
76,0.11695888319002314
77,0.11421364471879439
78,0.11776771318189233
79,0.1199073345718112
80,0.11945685824976991
81,0.11161390573909964
82,0.11270485930166178
83,0.11581962712807214
84,0.09309756661027084
85,0.10256789741167245
86,0.09878891629072521
87,0.1069398343054212
88,0.09105024233149019
89,0.09816928596610848
90,0.1052235645152801
91,0.10893182579728147
92,0.10183594242730377
93,0.12459891985391401
94,0.1246683442850768
95,0.12341191558514746
96,0.12162784387904628
97,0.12628642127964182
98,0.12769784502024087
99,0.11965021382918246
100,0.12095661854407576
101,0.12105055137386234
102,0.1192918575601063
103,0.11832385905280243
104,0.11531039058383706
105,0.11408385417430274
106,0.11399797166473848
107,0.10083409072691295
108,0.10354428887954838
109,0.10269785153346264
110,0.11159970383579736
111,0.10378371050205187
112,0.102211581060815
113,0.10099960921089166
114,0.10150054956174902
115,0.0921759061987909
116,0.09962617626032555
117,0.08665354319872709
118,0.08462360635457061
119,0.08054317396277519
120,0.09082447453769596
121,0.08208481841973815
122,0.08105877940946714
123,0.08074685766004477
124,0.08763654442097576
125,0.08746165047378422
126,0.09316563970497685
127,0.09707034839688639
128,0.09544444872873699
129,0.0971533596095697
130,0.08781141608961443
131,0.090796727576428
132,0.09388611243702645
133,0.0929121945870823
134,0.09230932373831933
135,0.10532812586015639
136,0.12275131146269161
137,0.12277096567568394
138,0.11650495886627042
139,0.11581387916510459
140,0.1126903519144089
141,0.11387431715145305
142,0.11402478171904218
143,0.12293942715893177
144,0.1234293550392207
145,0.12065285747832984
146,0.12784590970994947
147,0.12963792075203004
148,0.12084519673628426
149,0.12030137152875194
150,0.10400082705718579
151,0.10521537802491847
152,0.10518020064996808
153,0.1053332845842021
154,0.10566508422767512
155,0.09900140255378191
156,0.09894139395556556
157,0.0839755984165245
158,0.09184158068002678
159,0.0943254190751976
160,0.08207068908312362
161,0.08078264338724642
162,0.07668687819915769
163,0.0737820239493434
164,0.0753064146820189
165,0.09543280548810544
166,0.11222260652252736
167,0.1284274190792224
168,0.14008406702009568
169,0.14161006184284203
170,0.15290027806489728
171,0.15277579750192805
172,0.14918039723254667
173,0.1549007769789513
174,0.15350310468433281
175,0.15035741775210604
176,0.17216383592146126
177,0.17053081892559868
178,0.18160812599994863
179,0.1715455796886419
180,0.15641789862033884
181,0.14935502010581636
182,0.13516128660369015
183,0.13637585739589067
184,0.1308488311949116
185,0.1350276988313172
186,0.1233295876883084
187,0.10317537553772381
188,0.12513609017826904
189,0.12432753873249092
190,0.10702983239842523
191,0.1076560301389413
